end_year,intensity,sector,topic,insight
2018,12,Information Technology,artificial intelligence,What's next for Health IT - Trends for 2018
2020,16,null,pharmaceutical,The 8 Healthcare Trends that will impact your sales in 2018
2024,20,Pharmaceuticals,drug,Market share of top 20 companies for orphan drugs worldwide 2017 and 2024
2019,16,Information Technology,data,New NASA mission to detect plant water use from space
2020,12,null,organization,Cylance® Extends AI-Driven Security to Hybrid Environments and Private Networks With CylanceHYBRID and CylanceON-PREM
2022,12,Information Technology,internet of things,Digital twins help to reshape manufacturing
2025,16,Healthcare,diabetes,Facts & Figures
2018,12,Information Technology,internet of things,Digital twins help to reshape manufacturing
2020,12,null,consumption,"Cement strategy must ensure balance of supply, demand"
2021,12,null,null,VMware: Decades of hybrid cloud ahead
2026,16,Information Technology,computing,HPE to Invest $4 Billion for Advancement of Edge Computing
2018,6,null,null,"Oil & Gas Stock Roundup: Devon's Asset Sale, Exxon's Brazil Win & More"
2020,30,Automotive,autonomous car,Driverless cars: Let technology take the wheel
2020,60,Healthcare,health,What's next for Health IT - Trends for 2018
2026,9,Healthcare,disease,"Global Blood Typing, Grouping and Infectious Disease Screening Market 2016-2018 & 2026"
2025,72,Energy,power,"Power Management Integrated Circuit (PMIC) Market 2018 Global Trend, Segmentation And Opportunities Forecast To 2023"
2025,60,null,null,Biodiesel Info
2038,60,Energy,gas,Economic Benefits
2020,12,Manufacturing,automation,AASHTO Journal
2019,16,null,null,Amazon Prime Australia
2050,16,Energy,emission,"EU charting wrong course on LNG in shipping, study warns"
2025,72,Media & entertainment,camera,CCTV camera market shows robust growth
2023,12,Information Technology,electronics,Growing Importance of Flexible Electronics & Circuit Market 2018-2023
2022,16,null,coalition,Japan
2048,12,Energy,electricity,ADD TITLE (ENDS WITH FORUM ON PAGE)
2018,16,null,competition,"Top Stock Reports for Chevron, Glaxo & T-Mobile"
2025,60,null,null,CCTV camera market shows robust growth
2023,12,null,null,"Amazon Extends Ties With Sears, Bolsters Retail Presence"
2021,16,Energy,electricity,ADD TITLE (ENDS WITH FORUM ON PAGE)
2048,8,Energy,gas,Economic Benefits
2050,12,Environment,sea,Biodiversity in Cyprus in numbers
2025,72,Information Technology,3D,"3D Printing Medical/Healthcare Market 2018- Global Industry Anal - WTVM.com-Columbus, GA News Weather & Sports"
2029,12,Energy,policy,New EU biofuel rules not enough to help people or the planet
2038,9,Energy,fossil fuel,Sempra Unit to Up Energy Storage Project Via 83.5 MW Capacity
2020,56,Government,data,Trump Signs Bill to Authorize NOAA Purchase of Commercial Satellite Weather Data
2018,16,Manufacturing,production,The OPEC Meeting and the United States: The Elephant Not in the Room
2050,16,Energy,electricity,Nuclear Closures Undo Years' Worth of Climate Progress
2018,16,null,eurozone,Country and sector risks barometers Q1-2018 : Beyond the peak of global growth
2030,8,Manufacturing,car,Cobalt Miners News For The Month Of June 2018
2030,12,Tourism & hospitality,travel,New report from WEF describes future travellers' 'digital identity'
2040,12,null,null,The higher education landscape is changing fast
2018,16,Financial services,interest rate,Reserve Bank of India to hike again by year-end with August still in play: Reuters poll
2021,16,Financial services,bank,PayPal touts global reach as mobile wallets pop up in APAC
2030,10,null,economy,China Becomes World's Biggest Natural Gas Importer
2040,12,Education,education,The higher education landscape is changing fast
2028,9,Manufacturing,car,Cobalt Miners News For The Month Of June 2018
2048,9,Healthcare,innovation,CRISPR Science and Stocks: Knowing Enough to Invest
2020,16,Energy,gas,All about the gas - Australia primed for more M&A
2040,20,Energy,energy,Will OPEC Finally Raise Production to Avoid Market Imbalance?
2030,8,Environment,water,Food for the future
2027,12,Energy,battery,Cobalt Miners News For The Month Of June 2018
2018,16,Energy,power,June 24 Energy News
2030,9,Automotive,vehicle,Cobalt Miners News For The Month Of June 2018
2039,15,Transport,customer,The Tortoise and the Hare
2040,16,Education,education,The higher education landscape is changing fast
2018,8,Retail,export,OPEC compromise deal fails to satisfy markets
2018,20,null,null,OPEC meets Russia and allies to agree oil output boost
2018,16,Retail,consumer,How luxury brands use four social media apps in China to reach consumers who shop mostly online
2022,60,Information Technology,revenue,Amazon Flings Opens Prime Wardrobe Doors
2050,16,Energy,electricity,"PV, wind, batteries: Energy outlook research"
2050,12,Energy,battery,Renewables to generate half of worldwide electricity by 2050: report
2060,12,Environment,sea,Miami-Dade Home Values Influenced By Rising Seas (Research)
2018,12,null,null,Intel now faces a fight for its future
2021,12,Financial services,bond,The Fed's Real Target
2022,16,Energy,energy,News at a glance
2020,16,null,women,Saudi Arabia job growth likely as woman driver ban ends
2026,9,Financial services,finance,Greece crisis declared 'over' as euro zone agrees on debt relief
2025,48,Healthcare,medicine,"Global Medical Heat Sealers Market 2018- Accu-Seal, Audion Elektro, Bosch Packaging Technology (Robert Bosch)"
2023,16,Transport,bicycle,"Global Bicycle Market 2018 Industry Key Players, Trends, Sales, - NBC12 - WWBT - Richmond, VA News On Your Side"
2030,20,Financial services,manufacturing,Highly skilled workers' pay set to jump with talent crunch
2035,8,Aerospace & defence,aviation,The aviation industry could save $15 billion a year through connected aircraft
2033,9,Information Technology,artificial intelligence,Banking and financial services jobs: mobility at an all-time high
2050,12,Energy,battery,Renewables to generate half of worldwide electricity by 2050: report
2065,16,null,population,3 reasons why form automation is the foundation of tomorrow's cities
2018,6,null,employment,"Strong case for continued, steady rate hikes: Fed chief"
2021,12,Financial services,bond,The Fed's Real Target
2021,16,Food & agriculture,politics,2:00PM Water Cooler 6/22/2018
2020,60,null,asset,Get ready for self-driving money
2028,6,null,null,Eurozone agrees deal to bring Greece out of financial crisis
2025,30,Manufacturing,economy,How To Scale 3D Printing Using Distributed Manufacturing
2023,12,null,null,Infusion Pump Market Research 2018: Region Wise Analysis of Top Players in Industry by its Product Types and Application
2030,8,Retail,transport,Electric road trials go ahead
2036,9,Aerospace & defence,passenger,The aviation industry could save $15 billion a year through connected aircraft
2030,64,null,null,"No title could be extracted, please add manually"
2050,16,Energy,heating,"No title could be extracted, please add manually"
2050,16,Energy,energy,Renewables Will Make Up 50 Percent of the World's Energy by 2050
2018,16,null,economy,Greece crisis declared 'over' as euro zone agrees on debt relief
2048,9,null,wealth,Scots' wealth 'worth a trillion pounds'
2021,16,Energy,investor,"No title could be extracted, please add manually"
2022,12,null,null,"Global Online Furniture Market 2018-2022 Featuring Key Players: Ashley Furniture Industries, Heritage Home Group, Herman Miller, Inter IKEA Systems and Steelcase - ResearchAndMarkets.com"
2027,16,Energy,wind power,"Annual Global Wind Additions To Average 67 Gigawatts Through 2027, Forecasts MAKE Consulting"
2029,12,Aerospace & defence,helicopter,Top Western Transport Helicopter Deliveries-Retirements 2018-2027
2025,40,null,null,"Portable Agitator Industry 2018 Global Market Growth, Trend, and Forecast to 2025"
2042,15,Government,policy,The fight over family separations proved how broken Trump's America really is
2030,80,null,economy,Highly skilled workers' pay set to jump with talent crunch
2030,36,Financial services,investment,"No title could be extracted, please add manually"
2050,36,Energy,infrastructure,"No title could be extracted, please add manually"
2050,16,null,population,What are the Top Ten Countries with Most Reliance on Nuclear Power?
2018,36,Support services,administration,Many in U.S. have confidence in what private space companies will accomplish
2048,9,Construction,city,Urban expansion and resettlement can be a win-win for cities and communities: Case studies from five countries
2021,12,Information Technology,artificial intelligence,TechCrunch Hangzhou: How industry leaders are challenging the status quo
2021,12,null,null,"Transparent Ceramics Market in depth analysis, growth prospects & future trends to 2021"
2020,72,Government,law,Canada Just Became The 2nd Country in The World to Legalize Marijuana
2028,32,null,null,"Stocks to watch: Civmec, Singapore Kitchen Equipment, Sunpower"
2025,9,null,null,Sharing Economy
2023,16,Information Technology,robot,Brookings poll: 52% say robots will take over in 30 years
2030,16,null,gdp,Highly skilled workers' pay set to jump with talent crunch
2030,96,Food & agriculture,economy,Green Finance Institute and Financial Services Skills Taskforce unveiled
2030,16,Environment,waste,Expert View: How China is catching up with the US in new applications of synthetic biology.
2030,12,Automotive,vehicle,Australian car fleet could be 90% EVs by 2050
2038,9,Energy,energy,Could the formation of a Space Force be on Trump's agenda?
2036,16,Energy,grid,"'Major changes' to Melbourne CBD car usage needed, warns council parking report"
2040,12,Manufacturing,plastic,PKN Orlen unveils expansion program
2023,12,Transport,passenger,Top UK airports announce expansion plans and record passenger growth
2023,72,Energy,catalyst,"Emission Control Catalysts Market 2018 Global Trend, Segmentation and Opportunities Forecast To 2023"
2025,12,Retail,robot,"AI, Computer Vision, and Robotics to Deliver Long-Term ROI for Patient Brick and Mortar Retailers"
2025,48,Automotive,vehicle,"Global Semi-Autonomous Vehicles Market 2018- Tesla, General Motors, Mercedes-Benz, BMW, Audi"
2020,96,Retail,retail,Indian Retail Industry Analysis
2020,16,Energy,gas,"No title could be extracted, please add manually"
2022,16,null,economy,How a humanities degree will serve you in a disruptive economy
2021,16,Automotive,vehicle,Visteon confident for SmartCore technology
2021,40,Food & agriculture,food,Indian Retail Industry Analysis
2019,16,Energy,gas,"No title could be extracted, please add manually"
2019,16,Financial services,bank,Fed Rate Cuts and QE Will Resume Soon
2048,30,Environment,sea,Sea Level Rise Puts $117.5B at Risk from Chronic Flooding
2048,9,null,null,Loot From the Time of Sani Abacha Repatriated to Nigeria
2019,16,Security,refugee,How a photo research project gives refugee women a voice in resettlement policy
2018,8,Energy,oil,Venezuelan economy heading to complete collapse in months and probably a military coup
2050,80,Transport,autonomous vehicle,Intelligent tires: Coming to a bay near you
2050,8,Manufacturing,car,Australian car fleet could be 90% EVs by 2050
2030,9,Manufacturing,lithium,MuseLetter 313 / June 2018
2030,72,Construction,water,Report: £340bn annual investment needed to meet UN's water targets
2030,8,Energy,power,Projected US renewables could accelerate power price volatility - what can grid operators do?
2030,12,Automotive,vehicle,Intelligent tires: Coming to a bay near you
2023,12,Information Technology,mobile device,Study: mPOS devices to account for almost 25% of POS transactions by 2023
2023,48,null,null,"Wireless Connectivity Market 2018 Global Industry - Key Players, - KSWO 7News | Breaking News, Weather and Sports"
2028,72,Aerospace & defence,war,"No title could be extracted, please add manually"
2026,12,Information Technology,software,Looking For More Diverse Tech Talent? Check Your High Schools
2025,40,null,null,Consumer Market / Industry Research
2020,60,Healthcare,health,Telebehavioral health finding its niche
2020,8,Retail,export,"No title could be extracted, please add manually"
2022,12,Information Technology,data,HPE: You want full-blown enterprise software on our Edge boxes? You got it
2022,16,Energy,energy,"Global Energy Management Systems Market, 2018-2022 - Key Players are GE, Johnson Controls, C3 IoT, Schneider Electric, Honeywell, Siemens, Echelon, Rockwell Automation, EnerNOC & Eaton"
2022,24,null,null,Dollar General testing mobile checkout in 10 stores
2048,15,Energy,coal,In-Depth: BP's Global Data for 2017 Shows Record Highs for Coal and Renewables
2018,12,Government,election,Frontiers of Democracy 2018 Agenda
2045,12,null,null,Sea Level Rise Puts $117.5B at Risk from Chronic Flooding
2019,16,null,null,Preparing for Payments Perfect Storm - by Ernie Buday
2048,9,Information Technology,technology,When fluid flows almost as fast as light -- with quantum rotation
2050,16,Energy,electricity,How technology could help the grid cope with electric vehicles
2060,12,Construction,building,Energy policy now and the direction it's headed
2050,8,Manufacturing,lithium,MuseLetter 313 / June 2018
2035,96,Energy,energy,API Midstream Group Director Robin Rorick House Transportation Subcommittee Testimony
2030,6,Manufacturing,plastic,Developed nations struggling with plastic waste overload after China's import ban
2030,20,Aerospace & defence,fuel,Good News for Colorado Drivers: Hickenlooper Moves to Adopt State Clean Car Standards
2038,96,Financial services,investment,Energy policy now and the direction it's headed
2023,12,null,null,Home Office publishes details of settlement scheme for EU citizens
2023,60,null,Saas,"SaaS-Based Expense Management Market 2018 Global Industry - Key Players, Size, Trends, Growth- Analysis to 2025"
2025,8,Information Technology,null,What if U.S. fuel economy standards went away?
2025,20,Information Technology,software,5 Major AI Trends of 2018
2025,48,Manufacturing,glass,"Glass Fiber Filters Market 2018 Global Industry, Key Players, Size, Trends, Opportunities, Growth, Analysis 2018 To 2025"
2020,16,Information Technology,networked device,Smart transportation-an African game changer
2020,8,Manufacturing,production,Libya oil exports to resume at key ports as OPEC meets on supply
2021,16,null,economy,Former Fed official says nation needs to remember lessons of last economic crisis
2021,8,Food & agriculture,trade,Bulletin - June 2018 Global Economy Economic Trends in India
2022,60,null,null,"Smart Homes Market 2018 Global Industry - Key Players, Size, Trends, Opportunities, Growth- Analysis to 2022"
2048,9,Education,battery,MuseLetter 313 / June 2018
2018,16,Transport,retail,2:00PM Water Cooler 6/21/2018
2018,60,null,null,Young Americans are slipping into more comfortable shoes
2019,40,null,null,Visit to Australia by the Prime Minister of Vanuatu
2019,16,Media & entertainment,work,APY Lands to star in Switzerland gallery dedicated to Indigenous Australian art
2050,9,Government,democracy,The World Cup: The Dismal Science and the Beautiful Game
2050,16,null,population,Why Businesses Need to Plan for Aging Workforce
2030,16,Energy,emission,Cañete: EU 'de facto' upping carbon reduction pledge to -45%
2030,8,Healthcare,physician,New Medicare funding model for nurse training could fill gaps in care
2030,60,Automotive,vehicle,Good News for Colorado Drivers: Hickenlooper Moves to Adopt State Clean Car Standards
2040,12,Manufacturing,car,Energy policy now and the direction it's headed
2024,12,null,workforce,Why Businesses Need to Plan for Aging Workforce
2023,16,Energy,gas,"No title could be extracted, please add manually"
2025,48,null,null,Patients Without Borders: The Rise of Medical Tourism
2025,12,Healthcare,law,The Shifting Global Terrain of L.G.B.T.Q. Rights
2020,12,Healthcare,fmcg,Spending In Supermarkets And Hypermarkets Forecast To Continue Declining
2020,8,Manufacturing,production,Libya's Oil Exports to Resume at Key Ports While OPEC Meets on Supply
2020,72,Science,biology,Expert View: How China is catching up with the US in new applications of synthetic biology.
2022,16,Energy,renewable energy,India energy minister flags massive 100GW solar tender
2021,8,null,trade,Bulletin - June 2018 Global Economy Economic Trends in India
2021,12,null,null,How startups can survive the FinTech talent drought
2048,8,Energy,energy,Massive expansion planned for iconic hydro plant
2019,16,Telecoms,hardware,AT&T says 5G will be a software upgrade to cell towers with FirstNet
2019,20,Manufacturing,paper,McDonald's Eliminating Plastic Straws in U.K. and Ireland
2018,16,Information Technology,IT,UCaaS market share report details industry's upswing
2018,30,Food & agriculture,workforce,"Immigration, Trade, and the Farm Bill: Fires from the Same Spark"
2050,12,Energy,emission,Feeling green A wave of new environmental laws is scaring shipowners
2050,12,Energy,coal,"Record renewables roll-out eases gas crisis, says AEMO"
2050,12,Energy,electricity,"Report: World trending to hit 50% renewables, 11% coal by 2050"
2018,16,Energy,oil,U.S. Shale Producers Warn Chinese Tariffs Would Hit Energy Exports
2018,12,null,null,Study questions massive investments in AVs
2019,16,Energy,coal,EIU Global Forecasting Service
2019,12,Information Technology,internet of things,Schneider Electric Showcases Partnership with HPE as Sponsor of HPE Discover 2018
2021,12,Environment,data,"As Ocean Water Changes, Oyster Growers Turn To Technology"
2021,12,Construction,city,What it takes to help internally displaced persons
2021,12,Retail,retail,Growth Energy: Prime the Pump success driving ethanol demand
2020,20,Automotive,vehicle,"As Auto Industry Transforms, Ford and Volkswagen Consider an Alliance"
2028,30,null,job,New local content regulations to accelerate FPSO deployments in Brazil
2027,9,Information Technology,quantum,Quantum Computing: What Threat Does It Pose to Bitcoin?
2023,16,Energy,gas,Study: U.S. natural gas production to surge 60% in 20 years
2023,16,Manufacturing,smart thermostat,Connected Devices Are Driving a More Grid-Responsive Home
2023,12,null,protein,Category: Food and Beverage
2037,12,Transport,emission,London to have Europe's largest double-decker electric bus fleet
2030,12,Environment,forestry,Earth's intact forests vanishing at accelerating pace: scientists (Update)
2050,12,Automotive,vehicle,Driverless Vehicles Could Increase Energy Needs
2018,16,Manufacturing,equipment,Readers Tense Up Over Consolidation and Component Obsolescence
2018,12,null,null,China to implement three-year action plan for cleaner air
2018,20,Energy,oil,$50.5 oil benchmark sensible for 2018 budget - Experts
2048,16,Energy,gas,Offshore Oil and Natural Gas Development Drives US Energy and National Security
2021,8,Environment,organic farming,Butachlor Market Transformation in Growth Approaches 2025
2022,60,null,economy,Fact check: Does the projected increase in revenue from the Government's crackdown on illicit tobacco rely on smokers switching to legal product?
2021,8,Energy,oil,Where steel tariffs will hit hard: your gas tank
2020,12,null,null,WeChat-enabled tax rebates available at 77 airports worldwide
2025,60,null,null,Hybrid Memory Cube (HMC) and High-Bandwidth Memory (HBM) Market - Global Industry Study 2018
2028,72,Information Technology,e-commerce,"Army of fake reviewers being built to dupe buyers, drive online sales"
2023,48,null,null,Cloud Orchestration Market Growing at a CAGR of 21.8% from 2017 to 2023
2023,16,null,null,[Title]
2023,72,Information Technology,big data,Big Data Analytics in Retail Market Expected to reach at a CAGR 21.15% by 2023
2030,48,null,economy,Plastic bag ban can help jump start Australia's 'average' circular economy
2030,36,null,gdp,"As Trump Punishes Trade Allies, Europe Expands Global Alliances"
2050,20,Energy,energy,"New report examines coal's future outlook, and it isn't pretty"
2018,16,Energy,oil,"No title could be extracted, please add manually"
2019,12,Information Technology,data,"Article: Transformation of ONS household financial statistics: ONS statistical outputs workplan, 2018 to 2019"
2018,20,Aerospace & defence,soldier,60 Czech soldiers join NATO multi-national battalion in Latvia
2021,12,Energy,energy,2018 to 2023 Global Building Integrated Photovoltaics (BIPV) Market Research Analysis Report
2021,72,Energy,energy,Turkey's Worries over Iran Sanctions
2021,12,Food & agriculture,food,Food Safety Magazine
2020,16,Energy,war,China to end small-scale coal burning in 2 northern provinces by 2020
2020,12,Construction,city,"Mars storm, AI ethics and the LHC's big upgrade"
2025,12,null,null,Study questions massive investments in AVs
2025,12,Water,water,Transboundary Waters
2023,60,Financial services,capital,Study questions massive investments in AVs
2023,16,Energy,oil,ExxonMobil's Eighth Discovery Off Guyana Adds Another Development Possibility
2030,12,Manufacturing,plastic,China Just Handed the World a 111-Million-Ton Trash Problem
2030,16,Energy,gas,DUG East: Update - Record-Breaking Utica Wells
2050,30,null,null,Time for better disaster management and risk reduction education
2018,16,Manufacturing,plastic,Plastic bag ban at Woolworths' starts today in Queensland - here's what you need to know
2018,16,null,revenue,Making The Most Of Media Consolidation
2048,12,Construction,food,'This Is a Wake-Up Call': Cities Face Spikes in Extreme Heat and Floods by 2050
2021,10,null,tariff,EU levies tariffs on $3.2B on US goods over metals duties
2022,16,Food & agriculture,insurance,"Global Agriculture Insurance Market 2018 By Size, Types, Growing - Tri-State News, Weather & Sports"
2022,12,Manufacturing,equipment,Commercial Refrigeration Equipment in the US
2021,8,Healthcare,research,Global Congenital Heart Disease Market Research and Forecast 2018-2023
2020,8,Energy,oil,Why Mexico's Energy Reform Needs AMLO
2029,12,Energy,gas,Fiber lasers to outshine other sources as market takes off
2025,72,Science,biomarker,Global Biomarker Market Trend Analysis & Competition Tracking 2025
2023,48,null,null,Acrylic Acid Market 2018 Major Manufacturers Analysis And Indust - WFMJ.com News weather sports for Youngstown-Warren Ohio
2023,60,Energy,energy,Connected Devices Are Driving a More Grid-Responsive Home
2023,60,null,null,CDMO Minakem's new Belgium HPAPI facility in final qualifications ahead of opening
2030,12,Energy,battery,Study questions massive investments in AVs
2040,16,Energy,fossil fuel,S3 E1: Sitting Down with Secretary Perry
2030,12,Energy,oil,New pipelines and better prices expected to drive higher Canadian crude output
2038,12,Environment,research,Proposed NSW logging laws value timber over environmental protection
2030,9,null,null,Can China kick its animal antibiotic habit?
2023,12,Transport,navigation,"ACEINNA emerges as $50 million sensor technology ""spin out"""
2027,6,Energy,gas,Vistra plans largest energy storage project in Texas
2029,12,Media & entertainment,advertising,Mobile advertising to win third of global budgets by 2020
2025,30,null,service,Global Smart Homes Market to be Worth US$97.61 Billion; Driven by Energy Efficiency Trend and IoT Bandwagon - TMR
2020,16,Information Technology,retail,Mintel predicts the future of 'new retail'
2020,12,Financial services,healthcare,Top 10 trends for Digital in 2018
2020,12,Information Technology,cloud,8 Trends in Cloud Computing for 2018
2020,40,null,revenue,"No title could be extracted, please add manually"
2022,16,Information Technology,artificial intelligence,How AI augmentation will fuel net job growth by 2020
2021,80,null,spending,The IoT's Perplexing Security Problems
2021,12,Media & entertainment,television,Mobile advertising to win third of global budgets by 2020
2021,16,null,job,Economists: Looming trade wars will hurt workers in US and Canada
2019,40,Government,tax,"No title could be extracted, please add manually"
2018,48,Media & entertainment,revenue,"No title could be extracted, please add manually"
2019,12,null,population,"No title could be extracted, please add manually"
2018,16,null,consumption,"No title could be extracted, please add manually"
2018,20,Information Technology,data,8 Trends in Cloud Computing for 2018
2045,30,Government,tax,"Underwater: Rising Seas, Chronic Floods, and the Implications for US Coastal Real Estate (2018)"
2018,12,null,economic growth,Weaker Economic Growth Forecast for All Provinces in 2018
2018,60,Information Technology,internet of things,The IoT's Perplexing Security Problems
2050,12,Construction,city,"Climate change to have disastrous impact on London by 2050, report warns"
2050,12,Energy,electricity,Batteries boom enables world to get half of electricity from wind and solar by 2050
2030,8,Support services,energy,Colorado becomes 14th state to adopt stronger vehicle emission standards
2035,16,Energy,oil,New pipelines and better prices expected to drive higher Canadian crude output
2032,12,Environment,climate,'Answers are needed': Energy Industry feels left in the dark over Brexit
2038,12,Manufacturing,copper,Speech to the Association of Mining and Exploration Companies Convention
2023,60,null,null,Combined Heat & Power Market worth 27.01 Bn USD by 2023
2027,72,Government,law,Time is right for marijuana entrepreneurs to enter the global market
2029,8,Manufacturing,automation,Improving employment of older people could boost UK GDP by £180bn
2020,16,Information Technology,population,Technology and flexible working patterns: Transforming the way we work
2020,48,null,null,Thousands of public buildings sold off annually by cash-strapped councils
2020,12,Information Technology,internet of things,Top 10 trends for Digital in 2018
2020,16,Information Technology,computing,Twistlock Releases Active Threat Protection for Serverless Functions
2020,12,Financial services,income,"No title could be extracted, please add manually"
2022,16,Aerospace & defence,airplane,Corporate Responsibility
2021,12,null,null,Trump admin finalizes Association Health Plan expansion
2021,12,Manufacturing,car,"Keynote: Collaboration - Fast Lane to Automotive Disruption with NXP, DeepScale, Samsung, and NIO"
2048,12,Manufacturing,car,"WATCH: European renewable ethanol, a clean mobility solution"
2019,40,Energy,gas,"No title could be extracted, please add manually"
2019,40,Healthcare,tax,"No title could be extracted, please add manually"
2019,16,null,income,"No title could be extracted, please add manually"
2018,12,Energy,oil,"No title could be extracted, please add manually"
2018,16,Food & agriculture,hunger,The Five Conflicts Driving the Bulk of the World's Refugee Crisis
2018,12,null,economy,Weaker Economic Growth Forecast for All Provinces in 2018
2018,12,Energy,oil,Weaker Economic Growth Forecast for All Provinces in 2018
2018,60,Retail,internet of things,The IoT's Perplexing Security Problems
2050,80,Transport,autonomous vehicle,Fastest driverless vehicle to hit Australian roads unveiled in Adelaide
2040,12,Transport,flight,EUROCONTROL addresses serious issues facing capacity now and in future
2030,32,null,null,The Potential for Expanded U.S. Trade with Middle Income Countries
2038,9,Energy,transport,'Answers are needed': Energy Industry feels left in the dark over Brexit
2035,12,Energy,energy,Denison Consulting Group Offers First-of-its-Kind Cloud-Based Managed Services for Global Manufacturers
2023,16,Manufacturing,textile,"Carbon Textile Reinforced Concrete Market 2018 Global Share, Tre - WFMJ.com News weather sports for Youngstown-Warren Ohio"
2025,12,Information Technology,e-commerce,Mintel predicts the future of 'new retail'
2025,40,null,null,"Global Connected Thermostats Market 2018: Growth, Latest Trend & Forecast 2025"
2020,16,Retail,network,Singapore's largest electric vehicle charging network to have 500 charging points islandwide by 2020
2020,12,Construction,city,Alstom signs 100m contract to supply Frankfurt trams
2020,12,null,null,Agriculture and horticulture in numbers
2020,40,Government,income,"No title could be extracted, please add manually"
2021,12,Transport,bicycle,"Ergometer Exercise Bikes Market Global Growth, Trends, Analysis and Forecast to 2023"
2022,60,Information Technology,retail,Brazil's home-grown e-commerce players set to take on Amazon
2021,12,Information Technology,cloud,"AI experts from Apple, Microsoft, VMware and more to give GeekWire Cloud Tech Summit tech talks"
2022,16,Energy,solar power,UK solar power growth halves for second year running
2019,40,Government,income,"No title could be extracted, please add manually"
2018,40,Energy,coal,"No title could be extracted, please add manually"
2019,40,Government,tax,"No title could be extracted, please add manually"
2019,12,Retail,retail,"No title could be extracted, please add manually"
2019,16,null,economy,"No title could be extracted, please add manually"
2019,12,null,null,Ethane production growth led to record U.S. natural gas plant liquids production in 2017
2018,12,null,gdp,Weaker Economic Growth Forecast for All Provinces in 2018
2048,9,null,wastewater,Sewage treatment
2018,60,Information Technology,internet of things,The IoT's Perplexing Security Problems
2050,80,Energy,electricity,Coal Is Being Squeezed Out of Power by Cheap Renewables
2040,72,Aerospace & defence,economy,EUROCONTROL addresses serious issues facing capacity now and in future
2030,12,Manufacturing,plastic,Citizens collect plastic and data
2030,12,Transport,passenger,"Finavia issues ""biggest ever"" commercial tender at Helsinki Airport"
2024,72,Healthcare,emergency,Automotive Autonomous Emergency Braking (AEB) System Market
2023,12,Transport,bicycle,"Ergometer Exercise Bikes Market Global Growth, Trends, Analysis and Forecast to 2023"
2028,9,Healthcare,medicine,Transformative Education and Healthcare Technologies Delivering Smart Cities Benefits Beyond Legacy Infrastructure Models
2025,12,null,null,Global Smart Homes Market to be Worth US$97.61 Billion; Driven by Energy Efficiency Trend and IoT Bandwagon - TMR
2020,16,null,work,Mercedes cultivates its aging workforce
2020,12,Financial services,policy,Launch of the 2018 Economic Survey of the United States
2020,12,null,organization,"RPA Advances Apace, but More IT Involvement Needed"
2020,40,Energy,electricity,"No title could be extracted, please add manually"
2021,12,null,null,Network Forensics Market To Grow At a CAGR Of 15.14 % During The Period 2017-2021
2022,16,null,null,"Apple Watch adding LTE shone a spotlight on smartwatches, says IDC"
2022,40,null,null,HTPB Market worth 215.7 M USD by 2022
2021,16,Information Technology,software,"ERP Software Market 2018 Global Trends, Statistics, Size, Share, Regional Analysis by Key Players | Industry Forecast by Installation, Application, Industry Verticals"
2019,12,Retail,transport,"No title could be extracted, please add manually"
