end_year,intensity,sector,topic,insight
2018,40,Manufacturing,tax,"No title could be extracted, please add manually"
2019,16,null,gdp,"No title could be extracted, please add manually"
2019,12,Construction,construction,"No title could be extracted, please add manually"
2018,16,null,policy,Smart Speaker Owners Aren't Yet Widely Using Them to Control Connected Home Devices
2048,9,Manufacturing,machine,Out of their minds: wild ideas at the 'Coachella of consciousness'
2018,12,Retail,gdp,Weaker Economic Growth Forecast for All Provinces in 2018
2019,16,Food & agriculture,food,Taking food safety to a higher level
2050,8,Food & agriculture,water,Study: Climate action can limit Asia's growing water shortages
2050,15,Environment,electricity,"World on track for 50% renewables by 2050, says Bloomberg energy outlook"
2045,60,Energy,greenhouse gas,"Flooding from sea level rise threatens over 300,000 US coastal homes - study"
2018,60,Information Technology,security,The Growing Importance of Data Security for IoT - ReadWrite
2048,12,Financial services,population,Demographics and Long Run Growth
2018,16,null,camera,Safety tech central to Traffex SiB demonstrations
2045,6,null,null,"Sea level rise could threaten 300,000 US coastal homes, in the ""business-as-usual"" scenario"
2018,12,Information Technology,artificial intelligence,Artificial Intelligence: Commission discusses ethical and social impact with philosophical and non-confessional organisations
2021,40,Energy,battery,Mustang
2022,40,null,null,Marketing Solution
2022,12,null,null,"Bedroom Furniture Market in Americas, APAC and EMEA Region 2018 to 2022"
2022,60,null,null,"Qorvo Expands 5G Infrastructure Offerings, Launches GaN FEMs"
2021,20,Environment,pollution,Why Ghosn's Renault paycheck depends on EV sales
2020,12,Financial services,pension,SPU 2016
2020,20,Information Technology,internet of things,Statistics That Prove IoT will become Massive from 2018
2020,12,Support services,business,Why companies could be set for a flexible working revolution
2028,12,Financial services,society,Contactless payment boom means cash is no longer king
2025,40,null,null,"Pavers for Building Market 2018 SWOT Analysis, Trends and Future Opportunities by 2025"
2029,8,Energy,nuclear power,"Climate Change News - June 18, 2018"
2028,12,Energy,power,Asian Pacific Biomass
2023,48,Financial services,blockchain,"The global FinTech blockchain market size is expected to grow from USD 370.3 million in 2018 to USD 6,228.2 million by 2023, at a Compound Annual Growth Rate (CAGR) of 75.9%"
2023,12,Energy,oil,"Essential Oil Market 2018 by Current & Upcoming Trends - wistv.com - Columbia, South Carolina"
2023,48,Energy,solar power,Expert Consulting
2023,12,Aerospace & defence,technology,"Qorvo Expands 5G Infrastructure Offerings, Launches GaN FEMs"
2030,12,null,population,Colorado's Taxpayer Bill of Rights Should Be a Model for the Nation
2035,12,Energy,nuclear power,"No title could be extracted, please add manually"
2018,10,Manufacturing,production,OPEC Aims for Modest Output Hike to Overcome Iran's Dissent
2019,12,Information Technology,virtual reality,Defence sector to embrace blockchain technology
2048,9,null,null,Demographics and Long Run Growth
2019,16,Financial services,recession,Economist who helped discover predictive powers of bond market says there's no sign of recession right now
2048,8,Environment,sea,"Sea level rise could threaten 300,000 US coastal homes, in the ""business-as-usual"" scenario"
2018,12,null,null,EnergyTrend Predicts New China Solar Policy To Cut Global Solar To 95 Gigawatts In 2018
2022,16,Mining,robot,Global Robotics Market in Mining Industry 2018-2022
2022,40,null,null,Marketing Solution
2022,72,Food & agriculture,farming,Expert Consulting
2022,60,null,null,Near Field Commerce - A Rising Trend for e-Commerce After O2O
2021,12,Construction,infrastructure,Why Cybersecurity and API Management are the Next Frontiers in Vehicle Safety
2020,16,null,industry,"Pyrrolidone Market Research by Key players, Type and Application, Future Growth to 2020"
2020,12,Telecoms,5G,O2 Dismisses the Notion of Pre-2020 5G as '5G Lite'
2020,20,Information Technology,internet of things,Statistics That Prove IoT will become Massive from 2018
2025,48,Food & agriculture,beverage,"Powdered Milk Tea Beverage Sales Market 2018-2025 Key Players, Statistics, Demand and Growth Analysis"
2025,48,Environment,fertilizer,"Global Potassic Fertilizer Market 2018- Yara International ASA, Agrium, Potash Corporation of Saskatchewan, Eurochem Group AG, The Mosaic Company, JSC Belaruskali"
2028,9,null,workforce,3 predictions for the future of freelancing
2025,12,Aerospace & defence,airplane,Transforming aircraft connectivity
2023,32,null,null,2018 Global Paraquat Industry Trend & Development Study
2023,12,null,null,"NATO, Germany build up for war against Russia"
2023,16,Energy,economy,How aerospace could be a key to GM's future in fuel cells
2023,48,Healthcare,health,"Creating research value needs more than just science - arts, humanities, social sciences can help"
2030,15,Automotive,autonomous car,Petrol cars headed the way of the horse and cart - what's next?
2030,9,Healthcare,old age,Citizen Population Scenarios
2050,9,Environment,ozone,Estimates of ozone return dates from Chemistry-Climate Model Initiative simulations
2019,12,Information Technology,defence,Defence sector to embrace blockchain technology
2019,12,Information Technology,artificial intelligence,Chatbots - speaking to the future of communications
2045,9,Environment,water,"US property crisis looms as sea level rises, experts warn"
2018,16,Manufacturing,steel,Mustang
2018,16,Retail,export,SPU 2016
2018,20,Financial services,bitcoin,Will Bitcoin Herald the Demise of Cryptocurrency?
2022,16,null,null,New Wearables Forecast from IDC Shows Smartwatches Continuing Their Ascendance While Wristbands Face Flat Growth
2022,60,Information Technology,cyber,Marketing Solution
2022,12,null,human,Bring Back the Native Bees
2022,60,Information Technology,internet of things,Berg Insight
2020,16,Financial services,credit,China's social credit system spreads to more daily transactions
2020,16,Healthcare,healthcare,Scoopasia
2020,20,Information Technology,internet of things,Statistics That Prove IoT will become Massive from 2018
2020,12,Construction,city,15th China Airport Development Summit
2028,9,Financial services,cash,UK card payments outnumber cash for the first time
2028,9,Financial services,blockchain,3 predictions for the future of freelancing
2025,72,Information Technology,cloud,"Incredible Opportunities in Cloud Computing Market with key players Amazon Web Services, Microsoft Azure, IBM"
2028,12,null,consumption,Functional Beverages
2023,16,Healthcare,medicine,What Healthcare Professionals Don't Want in a Medical Device
2023,72,Energy,oil,"Essential Oil Market 2018 by Current & Upcoming Trends - wistv.com - Columbia, South Carolina"
2024,16,Healthcare,medicine,Healthcare News
2035,12,Energy,electricity,Swiss place efficiency at heart of post-nuclear energy strategy
2030,12,Healthcare,old age,Citizen Population Scenarios
2030,16,Manufacturing,automation,Are impact bonds and outcome funds a solution to the global learning crisis?
2018,8,Environment,weather,"Victorian pleasure piers are unique to Britain, but they are under threat"
2018,16,null,trade,"No title could be extracted, please add manually"
2045,24,null,null,"US property crisis looms as sea level rises, experts warn"
2018,12,Information Technology,voice,Why 2018 is the year of less waste and more measurability in marketing campaigns
2019,16,Financial services,interest rate,SPU 2016
2018,16,Financial services,investment,Opinion: Higher Education in America Finds Itself on a Slippery Slope
2021,6,null,null,Month: June 2018
2022,16,Information Technology,software,Marketing Solution
2022,60,Information Technology,artificial intelligence,"Zara stocks up on AI, big data, analytics partnerships and investments"
2022,60,Security,radar,"Qorvo Expands 5G Infrastructure Offerings, Launches GaN FEMs"
2022,16,Education,school,School Furniture Market Drivers and Impact
2020,16,Healthcare,healthcare,Scoopasia
2020,20,Information Technology,consumer,Statistics That Prove IoT will become Massive from 2018
2020,8,Energy,gas,Projects and energy snippets
2025,48,Science,chemistry,"Bio-based Platform Chemicals Market 2018 SWOT Analysis by Players: BASF, Cargill, DSM, Ineos, DuPont, PTT Global Chemical"
2025,56,null,economy,The Asia-Pacific gender-parity imperative
2029,6,Energy,subsidy,Home
2025,9,null,death,Citizen Population Scenarios
2023,12,Healthcare,reform,SPU 2016
2023,60,Energy,oil,"Essential Oil Market 2018 by Current & Upcoming Trends - wistv.com - Columbia, South Carolina"
2023,72,Information Technology,mobile device,"Mobile Device Management Market Trends by Leading Companies such as FeedHenry (Red Hat) , Microsoft Corporation, Mobileiron, Inc, Symantec Corporation, Sophos Ltd., Amtel, Inc. , Blackberry Limited, Soti, Inc., SAP SE, International Business Machines (IBM) Corporation"
2033,12,Healthcare,healthcare,Ideas for the NHS long-term plan
2035,96,Telecoms,economy,"5G network news, 5G network standardisation, 5G devices"
2043,12,Government,care,"No title could be extracted, please add manually"
2039,9,Transport,job,This Week in the Future of Cars: The Big Dig
2028,96,Financial services,currency,"Billionaire Investor Tim Draper Explains Why Bitcoin Will Hit $250,000 in 2022"
2021,12,null,null,Trump grumbles that North Korea deal not earning wide praise
2019,16,Energy,oil,Iran Says Three OPEC Members to Veto Saudi-Proposed Supply Boost
2043,8,Food & agriculture,food,"Iran, FAO cooperating to combat desertification"
2020,12,Construction,city,India faces 'worst-ever' water crisis: report
2048,20,Financial services,payment,Britain's May pledges 20 billion extra pounds for healthcare post-Brexit
2050,12,Retail,energy,Saudi Aramco CEO Nasser addresses future of oil at annual CeraWeek conference
2030,16,Education,education,Renovating internationalisation for the 21st century
2023,60,null,null,Oracle's XBRi Expansion to Protect Against Retail Theft
2020,12,Construction,smart city,Smart Cities and Blockchain: Four Countries Where AI and DLT Exist Hand-in-Hand
2018,16,Information Technology,lcd,Apple to rely on the cheaper 6.1-inch LCD iPhone for majority of sales this year
2030,32,null,null,Diaspora remittances to developing countries to exceed $6.5trn between 2015-2030
2025,48,Science,chemistry,"Global Metal Finishing Chemicals Industry Size, Share, Trend and Forecast to 2025"
2021,24,Information Technology,technology,The Current Reality of Augmented Reality
2019,12,Energy,renewable energy,NRG Energy Innovates Renewable Plans for Texas Customers
2053,9,null,wealth,Why Are Poor People in America So Patriotic? One Man Went on an Odyssey to Find Out
2019,16,Financial services,wealth,AmorePacific Group (002790) Plunges -1.21% on Jun 17
2020,96,Information Technology,manufacturing,Beacons Market Report in Global and Chinese
2066,12,null,women,Is happiness linked to long life? Hongkongers buck the trend
2048,9,Science,telescope,"To Start a New Life at Proxima Centauri, This Is How Many People We Need to Send"
2021,12,Education,technology,Artificial intelligence that can teach? It's already happening
2030,8,Water,gdp,India is facing its largest ever water crisis
2019,12,null,inflation,"Forex Market Outlook for the Week June 18 - 22, 2018"
2021,6,Government,military,"Defense budget bill creates path for future network of military, commercial communications satellites"
2038,12,Aerospace & defence,mars,NASA's Space Launch System: Rocketing Towards Cancellation?
2018,16,Tourism & hospitality,tourism,Turkey expects 40M tourists in 2018
2021,16,Energy,gas,How are cruise operators preparing for the IMO sulphur cap?
2023,12,Information Technology,speech,No Option for Law Firm
2035,16,Healthcare,cancer,"Liver cancer a big threat to U.S., other developed nations"
2030,12,Information Technology,economy,Can we trust AI if we don't know how it works?
2023,12,null,null,Energy
2028,12,Construction,urbanisation,Consumption in China: Ten Trends for the Next 10 Years
2028,12,Retail,consumer,Consumption in China: Ten Trends for the Next 10 Years
2025,40,null,null,News in the Life Sciences Industry
2025,48,null,wearable,"Wearable Fitness Trackers: Market 2018 Analysis The Global Key Manufacturers - Apple Inc., Fitbit Inc., SAMSUNG ELECTRONICS CO. LTD., Sony Corporation"
2020,16,Financial services,currency,Germany: Financial Experts Don't See Crypto as an Everyday Payment Method by 2020
2020,12,null,network,"The LTE, LTE-Advanced & 5G Market Size : Development, Research and Forecast 2018-2030"
2021,12,null,null,Surgical Scalpel Market - Approaches & Techniques 2025
2021,12,Manufacturing,car,Connected Cars & Design
2022,16,Healthcare,healthcare,How can the healthcare sector embrace the transition to mobile working? Transforming mobile working in healthcare
2019,16,Food & agriculture,wine,"No title could be extracted, please add manually"
2018,16,Energy,energy,"EIA: Bioenergy capacity, generation to increase in 2019"
2019,12,Energy,consumption,"EIA maintains 2018, 2019 ethanol production forecasts"
2018,16,null,economy,Time for High Beta & Momentum ETFs as Trade Tensions Ease?
2018,16,Information Technology,security,Chinese cyber attacks on Taiwan government becoming harder to detect: source
2018,60,Financial services,transport,Massachusetts Senate Unanimously Endorses a Bold Vision for Clean Transportation
2019,80,Retail,data,BankTech
2019,20,Energy,petroleum,"EIA expects Brent crude prices will average $71 per barrel in 2018, $68 per barrel in 2019"
2050,12,null,null,"Cycling Sunglasses Market Opportunity Analysis, 2018-2025"
2030,8,Manufacturing,automation,"We mustn't let tech tie us to emails at 11pm, says digital secretary"
2030,36,Transport,space,?Australian states and territories to battle for space agency boasting rights
2023,12,Construction,building,"Growth of Smart Building Market in Global Industry: Overview, Size and Share 2018-2023"
2027,9,Retail,technology,Consumption in China: Ten Trends for the Next 10 Years
2025,9,Aerospace & defence,economy,What percent of US full-size pickup trucks will plug in by 2025? Twitter poll results
2028,12,Energy,energy,"AEMO sees rooftop solar trebling in 10 years, batteries rising 10-fold"
2025,40,null,null,"Smart Shoes Market 2018 Insight By Demand Analysis, Types, , Pro - Cleveland 19 News Cleveland, OH"
2020,8,Environment,pollution,Ontario to Scrap Carbon-Cutting Plan as It Expands Elsewhere
2021,12,Retail,consumer,Consumption in China: Ten Trends for the Next 10 Years
2021,16,Healthcare,disease,Surgical Scalpel Market - Approaches & Techniques 2025
2022,16,Information Technology,software agent,Global Chatbot Market 2018-2022 to Post a CAGR of Over 24% | Technavio
2021,12,null,economy,"Trump's tariffs pose risk to global trade, U.S. economy: IMF"
2018,12,Energy,electricity,"EIA: Bioenergy capacity, generation to increase in 2019"
2019,12,Environment,waste,"EIA: Bioenergy capacity, generation to increase in 2019"
2019,16,null,inflation,"IMF warns US fiscal, trade policies create risks to global economy"
2018,20,Financial services,city,IOTA's TangleID-Driven Digital Citizen Card Deploying This Year
2018,12,Energy,oil,Baker Hughes: US Drillers Add Oil Rigs for Fourth Week in a Row
2018,12,null,null,The latest dry bulk news
2019,24,Energy,oil,"EIA expects Brent crude prices will average $71 per barrel in 2018, $68 per barrel in 2019"
2019,20,Energy,oil,"EIA expects Brent crude prices will average $71 per barrel in 2018, $68 per barrel in 2019"
2030,12,Transport,vehicle,A Smart Play on Future Transportation Trends
2030,12,Energy,greenhouse gas,EU sets new target of reaching 32% renewable production by 2030
2029,80,null,consumption,Consumption in China: Ten Trends for the Next 10 Years
2027,9,Information Technology,mobile device,Consumption in China: Ten Trends for the Next 10 Years
2025,48,Information Technology,artificial intelligence,"Global AI in Telecommunication Market Report, History and Forecast 2013-2025, Breakdown Data by Companies, Key Regions, Types and Application"
2029,6,Manufacturing,machine,State of Work: The Coming Impact of Automation on New York
2020,10,Government,economy,THE DAILY EDGE (15 June 2018): Retail Sails
2020,16,Financial services,bond,"No title could be extracted, please add manually"
2021,12,Information Technology,investment,How AR Prompts Deeper Consumer Engagement Around Content
2021,16,Healthcare,disease,Surgical Scalpel Market - Approaches & Techniques 2025
2021,6,Construction,city,What can cities in England learn from other countries about population health?
2022,60,null,revenue,Tasmanian budget: Saul Eslake analyses the Liberals' 'promise-keeping' plan
2018,12,Energy,electricity,"EIA: Bioenergy capacity, generation to increase in 2019"
2019,8,Energy,gas,Italy may impede Turkish-Azeri efforts for EU gas corridor
2019,12,Information Technology,intelligence,Wales to spend on digital for health and social care
2018,8,Food & agriculture,income,"U.S. farmers brace for impact of China trade war, soy at one-year low"
2019,20,Manufacturing,production,Baker Hughes: US Drillers Add Oil Rigs for Fourth Week in a Row
2018,16,Media & entertainment,video,"Government agencies jump on short-video bandwagon to ensure Chinese youth still hears ""official voice"""
2019,16,null,null,"EIA expects Brent crude prices will average $71 per barrel in 2018, $68 per barrel in 2019"
2019,16,null,child,How your child's online profile is being captured and shared
2030,96,null,gdp,Industrial IoT and the (Data) Sharing Economy
2030,12,Information Technology,technology,Towards a data-driven seamless journey - the vision for corporate travel by 2030
2023,48,Retail,export,Texas oil port to raise $300 million for work to handle U.S. shale export boom
2027,12,null,income,Consumption in China: Ten Trends for the Next 10 Years
2028,12,null,consumption,Consumption in China: Ten Trends for the Next 10 Years
2025,60,null,null,News in the Life Sciences Industry
2025,9,Manufacturing,lithium,Lithium superpower: How Australia's penny-dreadfuls stole a march on the world
2020,12,Information Technology,robot,This company tames killer robots
2020,60,Telecoms,investment,"The LTE, LTE-Advanced & 5G Market Size : Development, Research and Forecast 2018-2030"
2021,6,Financial services,internet of things,BankTech
2021,12,null,null,Biocatalysis gets the green light
2021,6,Manufacturing,car,Energy
2018,12,null,null,"No title could be extracted, please add manually"
2019,12,Environment,waste,"EIA: Bioenergy capacity, generation to increase in 2019"
2019,42,null,economic growth,Trade war: America risks killing the global growth it needs
2048,12,Information Technology,work,State of Work: The Coming Impact of Automation on New York
2018,20,Retail,consumer,"HBO will get a bigger budget under AT&T to compete with Netflix, but the fight will be fierce"
2018,16,Retail,retail,Revealed: bank branches closing at a rate of 60 a month
2019,6,Financial services,bank,cryptocurrencies
2019,20,Energy,oil,"EIA expects Brent crude prices will average $71 per barrel in 2018, $68 per barrel in 2019"
2060,12,null,null,Teaching computers to plan for the future
2018,16,Energy,solar power,On the solarcoaster Can the solar industry survive without subsidies?
2018,12,Financial services,defence,Expect High Adoption Of Blockchain In Next Few Years
2048,12,null,population,The Next Plague Is Coming. Is America Ready?
2019,20,Energy,gasoline,COLUMN-Higher oil prices set to moderate consumption growth: Kemp
2021,6,Healthcare,vaccination,The Next Plague Is Coming. Is America Ready?
2021,12,Construction,investment,"Super Absorbent Polymer Market Segmented Type, End User Industry - WFMJ.com News weather sports for Youngstown-Warren Ohio"
2022,16,Manufacturing,steel,Global Galvanized Steel Market 2018-2022
2021,16,Food & agriculture,food,"Plastic Packaging Market Size, Share, Recent Trends, Growth Factors, Segmentation and Geographical Analysis with Global Key Players Review"
2022,60,null,null,No more grocery checkout lines: Microsoft may rival Amazon with tech that cuts out the cashier
2020,60,Information Technology,e-commerce,"Efficient worldwide supply chain flows facilitate competitiveness, experts say"
2020,8,Aerospace & defence,nuclear weapon,SBS World News (14th June 2018)
2025,12,Information Technology,wearable,Global Wearable GPS Tracking Devices Market 2018 - Key Players Analysis and Forecast 2025
2028,8,Transport,hyperloop,Could hyperloop trains come to the UK within a decade?
2028,9,Retail,transport,"No title could be extracted, please add manually"
2023,72,Manufacturing,plastic,"Plastic Bottles and Containers Market Analysis 2018 Global: by Key Manufacturers, Countries, Type, Application and Forecasts to 2025"
2023,72,Information Technology,software,"Global Retail E-commerce Software Market 2018 By Types, Applicat - Cleveland 19 News Cleveland, OH"
2023,16,null,gdp,Tire makers must prepare for many scenarios
2030,12,Energy,emission,WEO 2017
2030,6,Energy,oil,Activists blast EU for extending deadline to ban palm oil in biofuels
2019,16,Information Technology,smartphone,"It looks like the iPhone X Plus won't have a triple-lens camera, despite what you might have heard"
2018,12,Financial services,payment,"Zelle, a payments service created by the 7 biggest US banks, is on track to be more popular than Venmo in 2018"
2018,12,Energy,solar power,"Residential solar won't decline but also won't grow, report finds"
2018,8,null,economy,"Fed Raises Interest Rates, Sets Stage for Two More Increases in 2018"
2021,12,null,workforce,Beyond Contingent Workforce Management: Embracing an Agile Workforce
2021,16,null,spending,Global Mid-Size Pharmaceutical Market 2016-2018 & 2021: Market is Projected to Grow from Approximately $1.1 Trillion in 2016 to $1.5 Trillion in 2021
2022,12,null,null,Global Vector Signal Generator Market 2018-2022
2021,60,Information Technology,IT,"Worldwide Financial Services External and Internal IT Spending to Reach $500 Billion in 2021, According to IDC Financial Insights"
2022,20,Energy,battery,Battery Power Online
2022,80,Energy,gas,"Global Oil And Gas Exploration And Production Market 2018 Share, Trend, Segmentation And Forecast To 2023"
2020,20,Telecoms,broadband,"No title could be extracted, please add manually"
2020,12,Information Technology,internet of things,The Rise of Connected Healthcare with IoT
2029,12,Education,education,India's large and young labour force could become a huge disadvantage by 2030
2025,72,Healthcare,blood,Global Blood Collection Systems Sales Market Report 2018
2025,40,null,null,"Person Counting System Market 2018: Worldwide Business Growth And Consumption Status, Segmentation And Drivers, Industry Survey And Trend To 2025"
2023,16,Energy,power,Policy & Markets
2023,48,Information Technology,cybersecurity,"Global Cyber Security Market 2018 By Size, Applications, Key Pla - KAIT Jonesboro, AR - Region 8 News, weather, sports"
2030,72,Transport,space,Australia's future in space
2030,6,null,null,"No title could be extracted, please add manually"
2040,72,Construction,investment,Saudi Arabia's PIF looks to invest in India's infrastructure sector
2050,9,Water,economic growth,"No title could be extracted, please add manually"
2018,10,Support services,supply,Current And Potential Losses to the U.S. Pork Industry from Retaliatory Tariffs -- Focus on Mexico
2018,20,null,policy,No Major Impact From Latest US Rate Increase
2019,12,null,null,IMF: Tax cuts boosting US now but will hurt growth later
2021,12,null,employee,Beyond Contingent Workforce Management: Embracing an Agile Workforce
2021,8,Transport,hyperloop,Could hyperloop trains come to the UK within a decade?
2022,16,Manufacturing,steel,Global Automotive Steel Wheels Market Technavio's analysts forecast the global automotive steel wheels market is expected to grow to 312.64 million units by 2022
2021,12,Information Technology,artificial intelligence,20 Smart People in Fintech
2021,12,Information Technology,artificial intelligence,Help Clients Find Value in AI
2022,12,null,null,"Future Innovations in-depth: Explosion Proof Motors Market SWOT Analysis by Leading Key Players | ABB, General Electric"
2020,10,Government,economic growth,"Trump tariffs are threat to both global trade and US economy, say IMF"
2020,12,Information Technology,health,The Rise of Connected Healthcare with IoT
2025,16,Healthcare,healthcare,Fitch says Medicaid cost growth likely to force states to cut programs
2025,48,Healthcare,disease,"Global Polycystic Kidney Disease Treatment Market 2018- Angion Biomedica Corp, Aptevo Therapeutics, Celgene Corp, Conatus Pharmaceuticals, DiscoveryBiomed, Endocyte, IC-MedTech"
2026,16,Manufacturing,packaging,"Micro Packaging Market Size, Share, Report, Analysis, Trends & F - WFMJ.com News weather sports for Youngstown-Warren Ohio"
2023,12,Healthcare,brain,"Brain Aneurysm Treatment Market 2018-2023: Full in-Depth Analysis by Regional Outlook | Growth, Trend, Share, Size | With Pivotal Players Involved and Forecast till 2023"
2024,16,null,gdp,IMF: Tax cuts boosting US now but will hurt growth later
2041,12,null,population,"St Albans facing nearly 10,000 new occupants in next eight years, statistics reveal"
2030,16,Energy,gas,"Report: Permian, Marcellus & Utica to Supply 55% of N. American Gas by 2030"
2030,12,Construction,city,Research: Smart Cities Tech Will Improve Urban Life
2018,16,null,inflation,Workers Flee and Thieves Loot Venezuela's Reeling Oil Giant
2018,16,Financial services,interest rate,No Major Impact From Latest US Rate Increase
2018,16,Information Technology,cloud,Peak Hybrid: The Top Four Use Cases for Azure Stack
2021,16,null,workforce,Russia has a plan to tackle its 'demographic squeeze'
2022,72,Support services,business,Why Domino's Pizza Is Fixing Potholes Now
2022,12,null,null,Global Supercapacitor Market 2018-2022
2021,72,Information Technology,artificial intelligence,Achieving real-time machine learning and deep learning with in-memory computing
2022,20,Healthcare,internet of things,The Rise of Connected Healthcare with IoT
2021,20,Healthcare,body,"Chinese Rival To Boeing, Airbus Set To Pass This Key Step In 2020"
2020,12,null,sustainability,14-Jun-18
2020,8,Financial services,debt,Italy: Stress is here to stay
2028,12,Energy,gas,Judy Asks: Should Germany Dump Nord Stream 2? Can it?
2025,40,null,null,"Chaga Mushroom Extract Market 2018 Global Industry Sales, Supply, Consumption, Analysis and Forecasts to 2025"
2025,48,null,vegetarian,Global Artificial Intelligence in Medicine Market Research Report 2013-2025 - Market Trends & Market Share
2023,72,Information Technology,mobile mapping,"Global Mobile Mapping Market 2018 Trend Outlook, Leading Platfor - WAFF-TV: News, Weather and Sports for Huntsville, AL"
2023,20,Energy,oil,"'Stunning' West Texas Oil Production to Double by 2023, Says Report"
2030,80,Information Technology,internet of things,Quick Tips for Improving Warehouse Productivity
2040,12,Aerospace & defence,economy,Development of Alaska's ANWR would increase U.S. crude oil production after 2030
2030,20,Transport,uav,Drones set to make a big impact on UK construction
2034,9,Financial services,security,The numbers you need to know about the retirement crisis
2040,8,Retail,export,America's Gas Prices May Double by 2040 as LNG Exports Grow
2023,12,Telecoms,data,"5G on a Roll, Cellular IoT Deployments Ramping Up - Ericsson Mobility Report"
2023,12,Energy,solar power,"Solar PV Market - Global Industry Analysis, Size, Share, Growth, Trends and Forecast 2018 - 2023"
2023,48,null,null,The Permian Basin in Texas and New Mexico will soon become the third-biggest oil producing region in the world: IHS Markit
2025,60,null,null,"Peripheral Intravenous (IV) Catheter Market: 2018 Global Trends, Product Type, Share, Industry Size, Technology, Growing at $6.73 Bn with CAGR of 6.1% and Forecast 2025"
2025,72,Information Technology,digital revolution,"Global Digital Transformation Market 2018 By Types, Services, So - Cleveland 19 News Cleveland, OH"
2025,16,Healthcare,gdp,US$ 750 Million Global Artificial Intelligence in Healthcare Market Size to grow by 39% in 2018
2029,12,Environment,sea,How to save Antarctica (and the rest of Earth too)
2020,16,Support services,business,Why the lucky country must become a digital one
2022,72,Healthcare,healthcare,IBEF Presentataion
2022,60,null,null,Interventional Cardiology Devices Market Value to Reach US$11.16 bn by 2022
2021,60,null,family,Michigan Utilities Plan Most Energy Efficiency Ever in State
2021,16,Energy,battery,China's ambition to power the world's electric cars took a huge leap forward this week
2018,16,null,wearable,"Fashion, functionality drive smart wearables market"
2018,12,null,null,Zelle to Overtake Venmo in 2018
2056,8,null,population,Grantham says capitalism is making this one big global risk to humanity worse
2030,9,Healthcare,disease,Interventional Cardiology Devices Market Value to Reach US$11.16 bn by 2022
2039,6,Automotive,employment,"Economic boom from self-driving cars will dwarf job dislocation, report says"
2023,16,Information Technology,data,"5G on a Roll, Cellular IoT Deployments Ramping Up - Ericsson Mobility Report"
2024,60,Food & agriculture,internet of things,"Rising Trend Insights on Smart Agriculture Industry Growth, Demand and Advancements Analysis Report"
2023,60,null,spending,"New IHS Markit Outlook - ""Stunning"" Permian Basin Oil Production to More than Double from 2017-2023, Exceeding Expectations"
2026,24,Healthcare,treatment,"Global Vasculitis Treatment Market, 2018-2026: Market was Valued at US$ 365.1 Mn in 2017 and Expected to Reach US$ 601.2 Mn by 2026"
2025,48,null,null,"Solar PV Market - Global Industry Analysis, Size, Share, Growth, Trends and Forecast 2018 - 2023"
2025,72,Information Technology,healthcare,US$ 750 Million Global Artificial Intelligence in Healthcare Market Size to grow by 39% in 2018
2025,60,null,null,"Mask Market Opportunities by Key Players, Regional Segmentation And Forecasts, 2018 - 2025"
2020,12,null,null,We Are Social extends into Middle East and North Africa
2022,40,null,null,New Rules Target Straws & Other Single-Use Foodservice Plastics
2022,72,null,revenue,Interventional Cardiology Devices Market Value to Reach US$11.16 bn by 2022
2022,12,Information Technology,software,Jets OT Kelvin Beachum Aims to Make a Difference With STEAM Education
2022,72,Manufacturing,paper,"Global Timber Logistics Market 2018-2022 with DB Schenker, Euroforest, KUEHNE + NAGEL, Mac-Trans & Timber24 Dominating - ResearchAndMarkets.com"
2018,16,null,inflation,"Fed raises interest rates, expects 2 more hikes this year"
2018,16,Financial services,payment,Zelle to Overtake Venmo in 2018
